,w: 0.2,,
,Iter,x1,x2
,x_0,0,0
,x_1,0.166666666666667,0.166666666666667
,x_2,0.302302888368462,0.302302888368462
,x_5,0.570232553858583,0.570232553858583
,x_6,0.626217457322036,0.626217457322036
,x_11,0.771821859978121,0.771821859978121
,x_17,0.818318270134857,0.818318270134857
,x_18,0.821251654520267,0.821251654520267
,x_19,0.823529142965202,0.823529142965202
,x_26,0.830089501687868,0.830089501687868
,x_27,0.830390121377727,0.830390121377727
,x_28,0.830623616692635,0.830623616692635
,x_37,0.831353216351401,0.831353216351401
,x_38,0.831371998357727,0.831371998357727
,x_42,0.83141367006974,0.83141367006974
,x_f,0.83141367,0.45563077
,,,
,w: 0.4,,
,iter,x1,x2
,x_0,0,0
,x_1,0.444444444444444,0.444444444444444
,x_2,0.66449713311638,0.66449713311638
,x_6,0.827977852367067,0.827977852367067
,x_7,0.830146715734553,0.830146715734553
,x_8,0.830952563662093,0.830952563662093
,x_12,0.831427540344308,0.831427540344308
,x_13,0.831433830295538,0.831433830295538
,x_f,0.83143383,0.45565211
,,,
,w: 0.6,,
,iter,x1,x2
,x_0,0,0
,x_1,1,1
,x_2,0.0625,0.0625
,x_3,0.990514395655911,0.990514395655911
,x_4,-10.3986828112792,-10.3986828112792
,x_5,-0.957130297649336,-0.957130297649336
,x_6,1.59004143231801,1.59004143231801
,x_13,0.823001426268987,0.823001426268987
,x_14,0.833279003530514,0.833279003530514
,x_15,0.831805007874987,0.831805007874987
,x_16,0.830633074447146,0.830633074447146
,x_21,0.831509552580475,0.831509552580475
,x_22,0.831404764081363,0.831404764081363
,x_26,0.831437671351639,0.831437671351639
,x_f,0.83143767,0.45565297
,,,
,Probando Gauss-Seidel:,,
,iter,x1,x2
,x_0,0,0
,x_1,0.666666666666667,0.666666666666667
,x_2,0.843537414965986,0.843537414965986
,x_3,0.833709285036074,0.833709285036074
,x_4,0.831483654451636,0.831483654451636
,x_5,0.83143876817974,0.83143876817974
,x_6,0.831437770123727,0.831437770123727
,x_f,0.83143777,0.45565481
,,,
,iter,x1,x2
,x_0,0,1
,x_1,0.619047619047619,0.619047619047619
,x_2,0.826429570859665,0.826429570859665
,x_3,0.833701701206177,0.833701701206177
,x_4,0.831481246242296,0.831481246242296
,x_5,0.831438726609235,0.831438726609235
,x_6,0.831437769418024,0.831437769418024
,x_f,0.83143777,0.45565481
,,,
,iter,x1,x2
,x_0,1,2
,x_1,0.615384615384615,0.615384615384615
,x_2,0.835879038963273,0.835879038963273
,x_3,0.834585615350809,0.834585615350809
,x_4,0.83149589078311,0.83149589078311
,x_5,0.831439201879465,0.831439201879465
,x_6,0.83143777743876,0.83143777743876
,x_f,0.83143778,0.45565481
